Delish Baskar,date unknown ,,UAE Super Kings,,,,,
Dennis,date unknown ,,Abela and Co,,,,,
Kaluarachchihe Nelukshan Alson Pasqual de Silva,April 12  1998  Sri Lanka ,19 years 361 days,United Arab Emirates Under-19s,,Left-hand bat,Slow left-arm orthodox,,
Dhanushka Udayanga,date unknown ,,Wellcare Warriors,,,,,
Shehan M Dharmasena,date unknown ,,United Arab Emirates Under-19s,,,,,
Dharmesh,date unknown ,,Dubai Indians,,,,,
Aashish Dhingra,date unknown ,,United Arab Emirates Under-17s ,,,,,
Dhiraj,date unknown ,,SOL Group,,,,,
Manvi Dhodhi,November 1  1983  India ,34 years 158 days,United Arab Emirates Women,,,,,
Dhurva Praveen,May 1  1996  India ,21 years 342 days,United Arab Emirates Under-19s,,Right-hand bat,Right-arm offbreak,,
Diago,date unknown ,,Al Sharqi Ship Company LLC,,,,,
Renaldi Akshaye Pruthivi Dias,October 7  1996 ,21 years 183 days,United Arab Emirates Under-19s,,,,,
Dileep,date unknown ,,Mutants,,,,,
Dileep,date unknown ,,OMG,,,,,
Dileep,date unknown ,,AWR 3,,,,,
Dileep Kumar,date unknown ,,Rising Stars Udyavar,,,,,
Dileep Unny,date unknown ,,Mutants,,,,,
Dilip Kumar,date unknown ,,Friends Fujairah,,,,,
Dilisara Sasanka,date unknown ,,DXB Municipality,,,,,
Dilp,date unknown ,,Mutants,,,,,
Dilruk,date unknown ,,The Westin Cricketers,,,,,
Dilruk,date unknown ,,The All Blacks,,,,,
Dilsara,date unknown ,,Khaleej Times,,,,,
Dilsara Thisara,date unknown ,,Khaleej Times,,,,,
Dilshad,date unknown ,,Coca Cola,,,,,
Dinesh,date unknown ,,Specialist Players,,,,,
Dinesh,date unknown ,,Blue Warriors,,,,,
Dinesh,date unknown ,,Super Dream Boys,,,,,
Dinesh Kumar,date unknown ,,DXB Panthers,,,,,
Dinesh Kumar,date unknown ,,Rocking Stars,,,,,
Dinesh Parappulakkal,date unknown ,,Payyanur Rockers,,,,,
Dipen,date unknown ,,Naik Riders Junior,,,,,
Dishank Bhavsar,date unknown ,,Gujarat Lions,,,,,
Dishank Bhavsar,date unknown ,,Gujarat Lions (UAE),,,,,
Ditta,date unknown ,,Rohtek Eleven,,,,,
Ditthu,date unknown ,,DHL United,,,,,
Ditthu Panicker,date unknown ,,DHL United,,,,,
Divyendu Shekhar,January 15  1997 ,21 years 83 days,United Arab Emirates Under-19s,,Right-hand bat,,,
Dlunstain,date unknown ,,Khaleej Times,,,,,
Dominic Savio,date unknown ,,DXB Panthers,,,,,
Udeni Chathurika Kuruppu Arachcige Dona,March 12  1993  Colombo ,25 years 27 days,United Arab Emirates Women,,Left-hand bat,Right-arm slow-medium,,
Natasha E Dos Santos Robinson,November 25  1989  England ,28 years 134 days,United Arab Emirates Women,,,,,
Nicole Cecelia D'Silva,September 14  1993  India ,24 years 206 days,United Arab Emirates Women,,,,,
Shaukat Fakirbhai Dukanwala,January 21  1957  Bombay (now Mumbai)  Maharashtra  India ,61 years 77 days,United Arab Emirates ,Bowler,Right-hand bat,Right-arm offbreak,,
Durga,date unknown ,,Modern Plastics,,,,,
Dyson Lobo,date unknown ,,AWR 1,,,,,
Ebrahim Haraz,date unknown ,,Rising Stars Udyavar,,,,,
Ed,date unknown ,,Blighty Ducks,,,,,
Edwin,date unknown ,,The Westin Cricketers,,,,,
Edwin,date unknown ,,The All Blacks,,,,,
Kavisha Kumari Nanayakkarewasan Egodage,April 23  2003  United Arab Emirates ,14 years 350 days,United Arab Emirates Women,,,,,
Ehtisham,date unknown ,,Alliance Insurance,,,,,
Muhammad Ethisham Saddique,June 16  1999 ,18 years 296 days,United Arab Emirates Under-19s,,Right-hand bat,Right-arm medium-fast,,
