Irfan,date unknown ,,Dubai Bulls,,,,,
Irfan,date unknown ,,Red Knights,,,,,
Irfan,date unknown ,,Pakhtoon XI,,,,,
Irfan,date unknown ,,Asian Tigers,,,,,
Irfan,date unknown ,,Lahore Qalandars,,,,,
Irfan,date unknown ,,Sealine Taha CC,,,,,
Irfan,date unknown ,,Al Jaber Plus Friends,,,,,
IrfanUl Haq,date unknown ,,DHL United,,,,,
Irfan Ahmed,October 16  1990  Bahawalpur  Punjab ,27 years 174 days,United Arab Emirates ,Middle-order batsman,Right-hand bat,Right-arm medium-fast,,
Irfan Chowdury,date unknown ,,Al Jaber Blazer,,,,,
Irfan Dogar,date unknown ,,SS Lootah Spinners,,,,,
Irfan Nazir,date unknown ,,Eppco,,,,,
Irfan Qayyum,date unknown ,,Eppco,,,,,
Irfan Sajid,January 1  1983  Pakistan ,35 years 97 days,United Arab Emirates,Bowler,Right-hand bat,Legbreak,,
Irfan Sajjad Ahmed,October 16  1990  Bahawalour  Pakistan ,27 years 174 days,United Arab Emirates ,,Right-hand bat,Right-arm fast,,
Irteza,date unknown ,,The Challengers,,,,,
Ishan,date unknown ,,Mutants,,,,,
Ishan,date unknown ,,Mutants,,,,,
Ishan,date unknown ,,G9-Stars,,,,,
Ishaq Khan,date unknown ,,Al Jeer CC,,,,,
Ishaq Mohammed,date unknown ,,Asian Falcon,,,,,
Ishfaq,date unknown ,,Kohat CC,,,,,
Ishtiaq,date unknown ,,Al Futtaim Exova,,,,,
Ishtiaque,date unknown ,,SGH Warriors,,,,,
Ishtiaq Hussain,date unknown ,,DHL United,,,,,
Ishwar Das,date unknown ,,Duke Boys,,,,,
Ismail,date unknown ,,Dhoom 8,,,,,
Israr,date unknown ,,SIB Warriors,,,,,
Isuru,date unknown ,,DBMSC A,,,,,
Indika Sampath,June 22  1981  Negoma  Sri Lanka ,36 years 290 days,United Arab Emirates ,Opening batsman,Right-hand bat,,Wicketkeeper,
J Jagadeesh,date unknown ,,Desert Group Heros,,,,,
Jaan,date unknown ,,Al Jeer CC,,,,,
Jabal,date unknown ,,Al Sharqi Ship Company LLC,,,,,
Jadon,date unknown ,,SGH Warriors,,,,,
Jafar Shobaz,date unknown ,,Dubai Municipality,,,,,
Jaffar,date unknown ,,Captains,,,,,
Jaffer,date unknown ,,Rising Challengers,,,,,
Jagadeesh,date unknown ,,Nice Lead,,,,,
Jagdeesh,November 26  1985  India ,32 years 133 days,Centaur Warriors,,,,,
Jagdish,date unknown ,,Dubai Indians,,,,,
Jahangir,date unknown ,,Pakhtoon XI,,,,,
Jahangir,date unknown ,,Pasha XI,,,,,
Jahanzeb,date unknown ,,Peshawar Zalmi (UAE),,,,,
Jahanzeb Nazir,date unknown ,,Dubai Zalmi,,,,,
Jahan Saeed,date unknown ,,Al Jeer CC,,,,,
Priyanjali Jain,October 8  1991  India ,26 years 182 days,United Arab Emirates Women,,,,,
Jainendra,October 2  1976  Surat India ,41 years 188 days,Park-N-Shop,,,,,
Jainendra,date unknown ,,Park-N-Shop,,,,,
Jainit Bhatiya,date unknown ,,Gujarat Lions,,,,,
Jainit Bhatiya,date unknown ,,Gujarat Lions (UAE),,,,,
Jaisankar,date unknown  India ,,Al Futtaim Exova,,,,,
Jaison,date unknown ,,Wellcare Warriors,,,,,
Jalal,date unknown ,,United Arab Emirates,,,,,
Jameel Haider,date unknown ,,Dubai Municipality,,,,,
Jameer,date unknown ,,Rising Challengers,,,,,
James,date unknown ,,Blighty Ducks,,,,,
James,date unknown ,,Blue Warriors,,,,,
Justin James,July 1  1995 ,22 years 281 days,United Arab Emirates Under-19s,,Left-hand bat,Slow left-arm orthodox,,
Jamshaid Iqbal,date unknown ,,Al Jaber Blazer,,,,,
Jan,date unknown ,,Hawks XI,,,,,
Janaka,September 22  1978  Galle ,39 years 198 days,Emrill Cricket Club,,,,,
Janaka,date unknown ,,Naik Riders Junior,,,,,
Janaka,date unknown ,,Naik Riders,,,,,
Janardhanan Nair,date unknown ,,Nico International,,,,,
Janarthanan,date unknown ,,Duke Boys,,,,,
Jashbir,date unknown ,,Force 8,,,,,
Jasil,date unknown ,,Players CC,,,,,
Jasim Suwaidi,May 6  1980  United Arab Emirates ,37 years 337 days,United Arab Emirates,,Right-hand bat,Right-arm offbreak,,
Ahmed Jassem Ahmed,May 17  1997  UAE ,20 years 326 days,United Arab Emirates Under-19s,,Right-hand bat,,,
Jaswinder,date unknown ,,Al Futtaim Carillion,,,,,
Jatin,date unknown ,,Ultimate Fighers,,,,,
Jatin,date unknown ,,Ultimate Fighters,,,,,
Jatin,date unknown ,,Virtual Cloud Falcons,,,,,
Jatinder,date unknown ,,Virtual Cloud Falcons,,,,,
Jatinraj,date unknown ,,Dewa,,,,,
Jatin Belani,date unknown ,,Gujarat Lions,,,,,
Jatin Belani,date unknown ,,Gujarat Lions (UAE),,,,,
Javad,date unknown ,,Icons,,,,,
Javed,date unknown ,,Scorpions,,,,,
Javed,date unknown ,,Peshawar Zalmi (UAE),,,,,
Javed,date unknown ,,AFS,,,,,
Javed,date unknown ,,AFS,,,,,
Javed,date unknown ,,Veerans,,,,,
Javed,date unknown ,,Moon Light CC,,,,,
Javed Ismail,December 2  1976  Lahore  Punjab ,41 years 127 days,Lahore ,,Right-hand bat,Right-arm offbreak,,
Javed Khan,January 1  1982  Pakistan ,36 years 97 days,APS,,,,,
Javed Khan,date unknown ,,Dubai Zalmi,,,,,
Jawad Ayub,date unknown ,,Dubai Tigers 11,,,,,
Jawad Ayub,date unknown ,,Dubai Tigers,,,,,
Jawaid,date unknown ,,Metro CC,,,,,
Jawaid Eqbal,date unknown ,,Anantara Falcons,,,,,
Jay,date unknown ,,DBMSC A,,,,,
Jaya,date unknown ,,Hawks XI,,,,,
Jayaraj Achary,date unknown ,,AWR 1,,,,,
Jayesh,date unknown ,,Evergreen,,,,,
Jayesh,date unknown ,,Evergreen,,,,,
Jayesh,date unknown ,,Coca Cola,,,,,
Jayraj,date unknown ,,Kazmi Knight Riders,,,,,
Jeevaka,date unknown ,,G9-Stars,,,,,
Jeevan,date unknown ,,Infinity,,,,,
Jeevan,date unknown ,,Khaleej Times,,,,,
Jefin,date unknown ,,Nice Lead,,,,,
Jefin,date unknown ,,Nice Lead,,,,,
Jehanzeb,date unknown ,,Khoat CC,,,,,
Jenish,date unknown ,,Falcons,,,,,
Jenish Vaniya,date unknown ,,Eagles,,,,,
Jenish Vaniya,date unknown ,,Falcon XI,,,,,
Jermin,date unknown ,,Friends Fujairah,,,,,
Jermy,date unknown ,,PCC,,,,,
Jesar Maqsood Shah,January 14  1994  India ,24 years 84 days,United Arab Emirates Women,,,,,
Jestin,date unknown ,,AL Ghurair Construction,,,,,
Sachin Jha,December 23  1998  India ,19 years 106 days,United Arab Emirates Under-19s,,Right-hand bat,,,
Jibran,date unknown ,,Dewa,,,,,
Jignesh Patel,date unknown ,,Gujarat Lions,,,,,
Jignesh Patel,date unknown ,,Gujarat Lions (UAE),,,,,
Jijo,date unknown ,,Wellcare Warriors,,,,,
Jijo Joseph,date unknown ,,Anantara Falcons,,,,,
Jiju,date unknown ,,Abela and Co,,,,,
Jikesh,date unknown ,,SHJ Warriors,,,,,
Jithin,date unknown ,,WME Warriors,,,,,
Jiveka,date unknown ,,Air Arabia,,,,,
Johnson,date unknown ,,Modern Plastics,,,,,
Johnson,date unknown ,,SGH Warriors,,,,,
John Lessly,date unknown ,,Veerans,,,,,
Jojin Lawsker,date unknown ,,PCC,,,,,
Jolin,date unknown ,,WME Warriors,,,,,
