Omer,date unknown ,,Hamriya XI,,,,,
Omer Iqbal,date unknown ,,Alliance Insurance,,,,,
Omer Farooq,date unknown ,,Alliance Insurance,,,,,
Omer Rizwan Mohammed,September 22  1994 ,23 years 198 days,United Arab Emirates Under-19s,,Right-hand bat,,,
Ormesh,date unknown ,,Park-N-Shop,,,,,
Ormesh,date unknown ,,Park-N-Shop,,,,,
Ormis,July 10  1985  Manipal India ,32 years 272 days,Park-N-Shop,,,,,
Ormis,date unknown ,,Park-N-Shop,,,,,
Osama,date unknown ,,CC Boys,,,,,
Osama,date unknown ,,Gargash Smashers,,,,,
Osama,date unknown ,,Al Jeer CC,,,,,
Oshila,date unknown ,,Naik Riders,,,,,
Osman Khan,date unknown ,,Al Jaber Blazer,,,,,
Ovais Imran,date unknown ,,Scorpions,,,,,
Owais Hameed,November 22  1987  Dubai ,30 years 137 days,United Arab Emirates ,,Right-hand bat,Right-arm offbreak,Brother - ,
Esha Rohit Oza,August 1  1998  India ,19 years 250 days,United Arab Emirates Women,,,,,
M Pathhum,date unknown ,,DHL Sharjah,,,,,
Palaksha,date unknown ,,Falcons,,,,,
Palaksha Nagraj,date unknown ,,Eagles,,,,,
Palaksha Nagraj,date unknown ,,Falcon XI,,,,,
Bhakhtiyar Palekar Hamid,May 4  1980  Khed  Maharashtra  India ,37 years 339 days,United Arab Emirates ,Opening batsman,Left-hand bat,,Palekar Hamid,
Pandey,date unknown ,,Heidelberg Warriors,,,,,
Pandi Gandi,date unknown ,,Alec,,,,,
Pankaj,date unknown ,,Red Knights,,,,,
Pankaj,date unknown ,,Red Knights,,,,,
Pankaj Prakash Samant,December 30  1994 ,23 years 99 days,United Arab Emirates Under-19s,,Right-hand bat,Right-arm medium,,
Parag,date unknown ,,Coca Cola,,,,,
Parag,date unknown ,,Coca Cola,,,,,
Partab,date unknown ,,Wellcare Warriors,,,,,
Parth,date unknown ,,Infinity,,,,,
Parthab,date unknown ,,SOL Group,,,,,
Parvez,date unknown ,,Moon Light CC,,,,,
Parvez Budye,date unknown ,,Alec Warriors,,,,,
Pasang,date unknown ,,Go Green,,,,,
Jai Pinakin Patel,date unknown ,,United Arab Emirates Under-19s,,,,,
Swapnil Prakash Patil,April 15  1985  Vadavali  Thane  India ,32 years 358 days,United Arab Emirates ,Wicketkeeper batsman,Right-hand bat,,Wicketkeeper,
Pawan,date unknown ,,Hawks (UAE),,,,,
Perera,date unknown ,,Eppco,,,,,
Kumarage Waruna Kalhara Perera,June 6  1997 ,20 years 306 days,United Arab Emirates Under-19s,,Right-hand bat,Right-arm medium,,
Mailange Vijayananda Perera,June 11  1966  Colombo  Sri Lanka ,51 years 301 days,United Arab Emirates,,Right-hand bat,,Wicketkeeper,
Peter,date unknown ,,Blue Warriors,,,,,
Philip Rodrigues,date unknown ,,Hunters,,,,,
Philp,date unknown ,,Hawks XI,,,,,
Pitchal Pitchai,date unknown ,,Pharmatarde,,,,,
PM Pranav,date unknown ,,DIC Fighters,,,,,
Riaz Husein Poonawala,May 8  1961  Poona (now Pune)  Maharashtra  India ,56 years 335 days,United Arab Emirates ,,Right-hand bat,Right-arm offbreak,,
Poovarasan,date unknown ,,Friends Fujairah,,,,,
Prabath,date unknown ,,Canpack,,,,,
Prabhu,date unknown ,,Virtual Cloud Falcons,,,,,
Prabin kuttain,date unknown ,,Rocking Stars,,,,,
Pradeep,date unknown ,,SHJ Warriors,,,,,
Pradeep,date unknown ,,Kazmi Knight Riders,,,,,
Pradeep Padhmakumara,date unknown ,,Anantara Falcons,,,,,
Pragnesh,date unknown ,,Discovery Garden,,,,,
Pragnesh,date unknown ,,DG Cheetahs,,,,,
K Prajeesh,date unknown ,,Metro Tigers Dubai,,,,,
Prajith,date unknown ,,Icons,,,,,
Prakash Darji,date unknown ,,Duke Boys,,,,,
Pramod,date unknown ,,Metro Hotel Cricket Team,,,,,
Prasad,date unknown ,,DBMSC B,,,,,
Prasad,date unknown ,,The Westin Cricketers,,,,,
Prasad,date unknown ,,The All Blacks,,,,,
Prasanah,date unknown ,,Friends Fujairah,,,,,
Prasanna Raghvavan,date unknown ,,Friends Fujairah,,,,,
P Prasanth,date unknown ,,Wellcare Warriors,,,,,
Praseeb Francis,date unknown ,,Veerans,,,,,
Prashant,date unknown ,,Arenco IT,,,,,
Prashanth,date unknown ,,Modern Plastics,,,,,
Prathap,date unknown ,,SOL Group,,,,,
Pratik,date unknown ,,Wonderlads,,,,,
Pratik,date unknown ,,Park-N-Shop,,,,,
Pratik,date unknown ,,Park-N-Shop,,,,,
Pratik,date unknown ,,Wonderlads,,,,,
Pratik,date unknown ,,Air Arabia,,,,,
Pratik,date unknown ,,Park-N-Shop,,,,,
Praveen,date unknown ,,OMG,,,,,
Praveen,August 7  1986  India ,31 years 244 days,Centaur Warriors,,,,,
Praveen,date unknown ,,Evergreen,,,,,
Praveen,date unknown ,,Team Aladeen,,,,,
Veni Praveen,May 4  1972  India ,45 years 339 days,United Arab Emirates Women,,,,Wicketkeeper,
Praveen Muthappan,date unknown ,,PCC,,,,,
Praveen Raju,date unknown ,,AWR 1,,,,,
Pravez,date unknown ,,Ahmed Star CC,,,,,
Pravin,date unknown ,,Evergreen,,,,,
Prejith,date unknown ,,Icons,,,,,
Prithvi,date unknown ,,Hawks (UAE),,,,,
Priya,date unknown ,,DXB Panthers,,,,,
Priyesh,date unknown ,,Discovery Garden,,,,,
Priyesh,date unknown ,,DG Cheetahs,,,,,
Prophin Raj,date unknown ,,Veerans,,,,,
Puneet,date unknown ,,Red Knights,,,,,
PUneet,date unknown ,,Red Knights,,,,,
Punit,date unknown ,,Captains,,,,,
Yodhin Punja,April 24  1999 ,18 years 349 days,United Arab Emirates ,Bowler,Right-hand bat,Right-arm medium,,
Punt,date unknown ,,Red Knights,,,,,
Pushparaj Pitchai,date unknown ,,Mutants,,,,,
Pushpa Leon,date unknown ,,Veerans,,,,,
Qurath,date unknown ,,Al Jaber Blazer,,,,,
Qadar Nawaz,October 13  1974  Pakistan ,43 years 177 days,United Arab Emirates,,Right-hand bat,,,
Qadeer Ahmed Khan,November 15  1985  Attock  Pakistan ,32 years 144 days,United Arab Emirates,Bowler,Right-hand bat,Right-arm medium-fast,,
Qadri,date unknown ,,Ultimate Fighers,,,,,
Qais Faisal Abdulkarim Farooq,August 31  1978  United Arab Emirates ,39 years 220 days,United Arab Emirates,,Right-hand bat,,,
Qalab,date unknown ,,Stallions,,,,,
Qamar,date unknown ,,Peshawar Zalmi (UAE),,,,,
Qamar Awais,October 25  1995  Sharjah UAE ,22 years 165 days,Butt XI,,,,,
Qamar Awais,date unknown ,,Butt XI,,,,,
Qasim,date unknown ,,Cobras (UAE),,,,,
Qasim,date unknown ,,Cobras (UAE),,,,,
Qasim,date unknown ,,Eagles,,,,,
Qasim,date unknown ,,Eagles (UAE),,,,,
Qasim,date unknown ,,Heidelberg Warriors,,,,,
Qasim Zubair,August 31  1987  Dubai ,30 years 220 days,United Arab Emirates ,,Right-hand bat,Right-arm medium-fast,,
Qazi,date unknown ,,Virtual Cloud Falcons,,,,,
Rana,date unknown ,,Anantara Falcons,,,,,
Rashid,date unknown ,,Dharti TV,,,,,
Rekab,date unknown ,,Nico International,,,,,
C Riyad,date unknown ,,Anantara Falcons,,,,,
Rabeesh,date unknown ,,Eppco,,,,,
Malaviarachchige Kulith Yaswin Rabel,March 17  1997 ,21 years 22 days,United Arab Emirates Under-19s,,Right-hand bat,,,
Mohammad Rabiul Hoque Chowdhury,January 1  1983  Chittagong  Bangladesh ,35 years 97 days,,,,,Umpire,
Radhakrishnan,date unknown ,,Nice Lead,,,,,
Radhakrishnan Nair,date unknown ,,Nico International,,,,,
Rafaz,date unknown ,,Rangers,,,,,
Rafeeq Sharaf,date unknown ,,Payyanur Rockers,,,,,
Rafi,date unknown ,,High Star Medical CC,,,,,
Rafiullah,date unknown ,,Been Chakwal CC,,,,,
Ragesh,date unknown ,,Ultimate Fighers,,,,,
Ragesh,date unknown ,,United XI,,,,,
Raghu,date unknown ,,Modern Plastics,,,,,
Raghul Nambiar,date unknown ,,Mutants,,,,,
Ragu Muniyappan,date unknown ,,Alec,,,,,
Raheel,date unknown ,,Rohtek Eleven,,,,,
Raheem,date unknown ,,AWR 3,,,,,
Raheem Waheed,July 10  1963  India ,54 years 272 days,DXB Warriors,,,,,
Rahil Hasan,date unknown ,,Adam Global Dubai,,,,,
Rahim,date unknown ,,Pakhtoon XI,,,,,
Rahim,date unknown ,,Heidelberg Warriors,,,,,
Rahman,date unknown ,,Khaleej Times,,,,,
Rahman Gul,date unknown ,,DHL Sharjah,,,,,
Rahul,date unknown ,,Nice Lead,,,,,
Rahul,date unknown ,,Players CC,,,,,
Rahul,date unknown ,,Friends CC,,,,,
Rahul,date unknown ,,Dubai Indians,,,,,
